preco,condominio,endereço,area,quartos,vagas,banheiros
R$ 570 /mês,R$ 217,"Rua dos Caquizeiros, Cosmos",40 m²,2,1,1
R$ 11.000 /mês,R$ 767,"Centro, Rio de Janeiro",70 m²,0,0,1
R$ 25.000 /mês,R$ 6.044,"Avenida Presidente Wilson, Centro",555 m²,0,0,0
R$ 1.500 /mês,R$ 200,"Irajá, Rio de Janeiro",64 m²,2,0,2
R$ 2.000 /mês,R$ 730,"Rua Conde de Bonfim, Tijuca",110 m²,2,1,2
R$ 1.700 /mês,R$ 400,"Rua Guilherme Marconi, Centro",56 m²,2,0,1
R$ 1.400 /mês,R$ 450,"Estrada dos Bandeirantes, Jacarepaguá",60 m²,2,1,2
R$ 1.300 /mês,0,"Rua Américo Rocha, Marechal Hermes",50 m²,2,1,1
R$ 3.000 /mês,R$ 155,"Rua Luiz Beltrão, Vila Valqueire",282 m²,2,3,1
R$ 750 /mês,R$ 250,"Estrada dos Caboclos, Campo Grande",55 m²,2,1,1
R$ 2.900 /mês,R$ 800,"Rua Senador Vergueiro, Flamengo",90 m²,2,1,1
R$ 3.200 /mês,R$ 769,"Rua Duvivier, Copacabana",107 m²,3,0,1
R$ 1.800 /mês,R$ 500,"Rua Sampaio Viana, Tijuca",70 m²,2,1,1
R$ 1.980 /mês,R$ 500,"Rua Maria José, Oswaldo Cruz",63 m²,2,1,1
R$ 2.100 /mês,0,"Rua Pedro de Carvalho, Méier",81 m²,4,1,3
R$ 1.110 /mês,R$ 300,"Estrada Adhemar Bebiano, Del Castilho",70 m²,2,2,1
R$ 3.200 /mês,R$ 1.800,"Rua General Barbosa Lima, Copacabana",160 m²,3,1,3
R$ 2.200 /mês,R$ 600,"Rua Assunção, Botafogo",50 m²,1,1,1
R$ 1.310 /mês,R$ 370,"Rua São Gabriel, Cachambi",95 m²,2,1,1
R$ 1.500 /mês,R$ 26,"Rua Viúva Dantas, Campo Grande",300 m²,2,1,2
