bairro_id,preco_total,area,quartos,banheiros,vagas
33,787,40,2,1,1
26,11767,70,0,1,0
26,31044,555,0,0,0
60,1700,64,2,2,0
124,2730,110,2,2,1
26,2100,56,2,1,0
62,1850,60,2,2,1
80,1300,50,2,1,1
136,3155,282,2,1,3
20,1000,55,2,1,1
42,3700,90,2,1,1
30,3969,107,3,1,0
124,2300,70,2,1,1
85,2480,63,2,1,1
83,2100,81,4,3,1
35,1410,70,2,1,2
30,5000,160,3,3,1
12,2800,50,1,1,1
15,1680,95,2,1,1
20,1526,300,2,2,1
102,6137,400,3,5,3
3,3438,77,2,2,2
51,909,50,2,2,1
39,1480,50,2,1,1
12,10967,120,0,1,0
7,6800,70,2,2,2
112,526642,9000,0,10,30
3,2987,60,2,2,1
122,1642,120,2,1,1
26,526,27,0,1,0
21,1150,50,2,1,1
70,5000,80,1,2,1
7,3900,70,2,3,1
62,4190,70,2,2,1
12,4700,85,2,1,1
39,1500,90,2,2,1
26,1236,28,0,1,0
124,2500,63,2,2,1
12,3320,62,2,2,1
26,1440,72,2,1,1
59,3980,56,1,2,0
65,2750,40,1,1,0
92,1825,46,2,1,1
122,970,28,0,1,1
23,2149,42,1,1,0
67,3150,200,3,2,2
102,2900,73,2,3,2
61,1420,58,2,1,1
102,5700,144,3,4,2
83,1790,60,2,2,1
30,7001,330,5,3,0
49,1900,65,2,0,1
26,2900,48,1,1,0
65,5150,86,2,1,1
3,4388,121,2,3,3
67,2415,80,2,1,1
47,2071,49,1,2,0
60,1700,70,3,2,1
122,1650,48,2,1,1
89,1570,60,1,2,1
27,1670,53,2,2,1
19,2300,100,3,2,1
65,5250,60,2,1,1
67,5188,300,3,4,3
76,37972,1000,0,5,4
44,5292,162,2,2,0
10,1800,85,2,3,1
59,6375,115,3,3,1
67,2500,130,3,1,2
102,3250,103,3,2,2
89,2594,53,2,2,1
67,3650,130,3,4,2
30,2570,47,1,1,0
7,92000,1000,0,1,0
72,13766,300,4,3,2
67,3100,140,3,3,2
83,2254,86,2,3,1
26,1785,65,2,2,0
43,3026,72,2,2,1
124,2478,71,2,1,1
55,3530,80,1,2,1
12,5000,94,2,2,1
124,2824,80,2,2,1
102,3075,66,2,2,1
30,3772,70,2,2,0
7,2492,35,0,1,1
26,750,20,0,1,0
122,1895,62,2,2,1
47,1730,45,1,1,0
48,2330,80,3,1,0
20,970,54,2,1,1
134,2545,73,3,2,1
30,3340,60,2,1,1
122,1550,120,2,1,1
128,3175,64,2,2,0
7,2850,80,2,1,1
130,2590,108,2,2,1
73,15067,140,3,5,2
124,1390,34,1,1,0
12,3480,74,2,1,2
39,1500,93,2,3,1
79,2379,75,2,2,0
124,2550,72,2,1,0
15,1900,57,2,2,1
42,4360,35,1,1,0
113,890,49,2,1,1
